WARD NAME,CONSTITUENCY,COUNTY NAME
ABAKAILE,DAADAB,GARISSA
ABOGETA EAST,SOUTH IMENTI,MERU
ABOGETA WEST,SOUTH IMENTI,MERU
ABOTHUGUCHI CENTRAL,CENTRAL IMENTI,MERU
ABOTHUGUCHI WEST,CENTRAL IMENTI,MERU
ADAMASAJIDE,WAJIR WEST,WAJIR
ADU,MAGARINI,KILIFI
AGENG'A NANGUBA,FUNYULA,BUSIA
AGUTHI-GAAKI,TETU,NYERI
AHERO,NYANDO,KISUMU
AINABKOI/OLARE,AINABKOI,UASIN GISHU
AINAMOI,AINAMOI,KERICHO
AIRBASE,KAMUKUNJI,NAIROBI
AIRPORT,CHANGAMWE,MOMBASA
AKACHIU,IGEMBE SOUTH,MERU
AKIRANG'ONDU,IGEMBE CENTRAL,MERU
AKITHII,TIGANIA WEST,MERU
ALALE,KACHELIBA,WEST POKOT
ALANGO GOF,LAFEY,MANDERA
AMALO,KURESOI SOUTH,NAKURU
AMUKURA CENTRAL,TESO SOUTH,BUSIA
AMUKURA EAST,TESO SOUTH,BUSIA
AMUKURA WEST,TESO SOUTH,BUSIA
AMWATHI,IGEMBE NORTH,MERU
ANGATA BARIKOI,KILGORIS,NAROK
ANGATA NANYOKIE,SAMBURU NORTH,SAMBURU
ANG'OROM,TESO SOUTH,BUSIA
ANG'URAI EAST,TESO NORTH,BUSIA
ANG'URAI NORTH,TESO NORTH,BUSIA
ANG'URAI SOUTH,TESO NORTH,BUSIA
ANTUAMBUI,IGEMBE NORTH,MERU
ANTUBETWE KIONGO,IGEMBE NORTH,MERU
ARABIA,MANDERA EAST,MANDERA
ARBAJAHAN,WAJIR WEST,WAJIR
ARROR,MARAKWET WEST,ELGEYO-MARAKWET
ASHABITO,MANDERA NORTH,MANDERA
ATHI,KITUI SOUTH,KITUI
ATHI RIVER,MAVOKO,MACHAKOS
ATHIRU GAITI,IGEMBE SOUTH,MERU
ATHIRU RUUJINE,IGEMBE CENTRAL,MERU
ATHWANA,TIGANIA WEST,MERU
AWASI/ONJIKO,NYANDO,KISUMU
BAAWA,SAMBURU NORTH,SAMBURU
BABA DOGO,RUARAKA,NAIROBI
BAHARI,LAMU WEST,LAMU
BAHATI,BAHATI,NAKURU
BALAMBALA,BALAMBALA,GARISSA
BAMBA,GANZE,KILIFI
BAMBURI,KISAUNI,MOMBASA
BANGALE,BURA,TANA RIVER
BANISSA,BANISSA,MANDERA
BANJA,HAMISI,VIHIGA
BARAGWI,GICHUGU,KIRINYAGA
BARAKI,LAGDERA,GARISSA
BARTABWA,BARINGO NORTH,BARINGO
BARUT,NAKURU TOWN WEST,NAKURU
BARWAGO,WAJIR EAST,WAJIR
BARWESSA,BARINGO NORTH,BARINGO
BASI BOGETAORIO,BOBASI,KISII
BASI CENTRAL,BOBASI,KISII
BASUBA,LAMU EAST,LAMU
BATALU,WAJIR NORTH,WAJIR
BATEI,POKOT SOUTH,WEST POKOT
BENANE,LAGDERA,GARISSA
BENANE,WAJIR SOUTH,WAJIR
BIASHARA,RUIRU,KIAMBU
BIASHARA,NAIVASHA,NAKURU
BIASHARA,NAKURU TOWN EAST,NAKURU
BIBIRIONI,LIMURU,KIAMBU
BIDII,KWANZA,TRANS NZOIA
BIRONGO,NYARIBARI CHACHE,KISII
BOBARACHO,NYARIBARI CHACHE,KISII
BOBASI BOITANGARE,BOBASI,KISII
BOBASI CHACHE,BOBASI,KISII
BOFU,LIKONI,MOMBASA
BOGEKA,KITUTU CHACHE SOUTH,KISII
BOGETENGA,SOUTH MUGIRANGO,KISII
